uniqueid,bank_account
uniqueid_8583 x Kenya,Yes
uniqueid_7586 x Kenya,No
uniqueid_7887 x Kenya,No
uniqueid_6640 x Kenya,No
uniqueid_7153 x Kenya,No
uniqueid_7504 x Kenya,No
uniqueid_7663 x Kenya,No
uniqueid_6158 x Kenya,Yes
uniqueid_6447 x Kenya,No
uniqueid_6583 x Kenya,Yes
uniqueid_7413 x Kenya,No
uniqueid_6752 x Kenya,No
uniqueid_8599 x Kenya,No
uniqueid_6915 x Kenya,No
uniqueid_8573 x Kenya,No
uniqueid_8572 x Kenya,No
uniqueid_8264 x Kenya,No
uniqueid_7169 x Kenya,No
uniqueid_8048 x Kenya,Yes
uniqueid_7619 x Kenya,No
uniqueid_7257 x Kenya,No
uniqueid_7569 x Kenya,No
uniqueid_6272 x Kenya,No
uniqueid_7879 x Kenya,No
uniqueid_6791 x Kenya,No
uniqueid_6296 x Kenya,Yes
uniqueid_6946 x Kenya,No
uniqueid_7124 x Kenya,No
uniqueid_8650 x Kenya,Yes
uniqueid_6292 x Kenya,No
uniqueid_7763 x Kenya,Yes
uniqueid_7600 x Kenya,No
uniqueid_6645 x Kenya,Yes
uniqueid_8345 x Kenya,Yes
uniqueid_6528 x Kenya,Yes
uniqueid_6394 x Kenya,No
uniqueid_6477 x Kenya,Yes
uniqueid_6587 x Kenya,Yes
uniqueid_8416 x Kenya,No
uniqueid_6298 x Kenya,No
uniqueid_6231 x Kenya,Yes
uniqueid_8479 x Kenya,No
uniqueid_7370 x Kenya,No
uniqueid_7810 x Kenya,No
uniqueid_8563 x Kenya,No
uniqueid_7576 x Kenya,Yes
uniqueid_6094 x Kenya,Yes
uniqueid_8597 x Kenya,Yes
uniqueid_7255 x Kenya,No
uniqueid_7649 x Kenya,Yes
uniqueid_8418 x Kenya,No
uniqueid_7924 x Kenya,No
uniqueid_6603 x Kenya,No
uniqueid_6157 x Kenya,No
uniqueid_7665 x Kenya,No
uniqueid_8558 x Kenya,No
uniqueid_6656 x Kenya,No
uniqueid_7533 x Kenya,No
uniqueid_7013 x Kenya,Yes
uniqueid_7111 x Kenya,No
uniqueid_7373 x Kenya,Yes
uniqueid_6982 x Kenya,No
uniqueid_8570 x Kenya,No
uniqueid_8555 x Kenya,No
uniqueid_6797 x Kenya,No
uniqueid_7535 x Kenya,No
uniqueid_7933 x Kenya,No
uniqueid_7974 x Kenya,No
uniqueid_7973 x Kenya,No
uniqueid_7968 x Kenya,No
uniqueid_7994 x Kenya,No
uniqueid_8371 x Kenya,No
uniqueid_8224 x Kenya,No
uniqueid_7685 x Kenya,No
uniqueid_6349 x Kenya,No
uniqueid_8028 x Kenya,No
uniqueid_8036 x Kenya,No
uniqueid_8054 x Kenya,No
uniqueid_8064 x Kenya,No
uniqueid_8090 x Kenya,No
uniqueid_8101 x Kenya,No
uniqueid_8311 x Kenya,No
uniqueid_6358 x Kenya,No
uniqueid_8594 x Kenya,No
uniqueid_8136 x Kenya,No
uniqueid_6110 x Kenya,No
uniqueid_7385 x Kenya,No
uniqueid_7528 x Kenya,No
uniqueid_8099 x Kenya,Yes
uniqueid_6738 x Kenya,No
uniqueid_8173 x Kenya,No
uniqueid_8227 x Kenya,No
uniqueid_6854 x Kenya,No
uniqueid_8496 x Kenya,No
uniqueid_8252 x Kenya,No
uniqueid_8253 x Kenya,No
uniqueid_7397 x Kenya,No
uniqueid_6440 x Kenya,No
uniqueid_8295 x Kenya,No
uniqueid_7062 x Kenya,No
uniqueid_7254 x Kenya,No
uniqueid_8579 x Kenya,No
uniqueid_6879 x Kenya,No
uniqueid_7182 x Kenya,No
uniqueid_8362 x Kenya,No
uniqueid_8367 x Kenya,No
uniqueid_8382 x Kenya,No
uniqueid_8391 x Kenya,No
uniqueid_8492 x Kenya,No
uniqueid_7698 x Kenya,No
uniqueid_8398 x Kenya,No
uniqueid_6705 x Kenya,No
uniqueid_6560 x Kenya,No
uniqueid_8530 x Kenya,No
uniqueid_6795 x Kenya,No
uniqueid_6510 x Kenya,No
uniqueid_8501 x Kenya,Yes
uniqueid_8503 x Kenya,No
uniqueid_7114 x Kenya,No
uniqueid_8510 x Kenya,No
uniqueid_8500 x Kenya,No
uniqueid_7617 x Kenya,No
uniqueid_6688 x Kenya,No
uniqueid_7081 x Kenya,No
uniqueid_8582 x Kenya,No
uniqueid_8437 x Kenya,No
uniqueid_8591 x Kenya,No
uniqueid_6403 x Kenya,No
uniqueid_7291 x Kenya,No
uniqueid_8439 x Kenya,No
uniqueid_8600 x Kenya,No
uniqueid_8395 x Kenya,No
uniqueid_8613 x Kenya,No
uniqueid_8614 x Kenya,No
uniqueid_8616 x Kenya,No
uniqueid_8618 x Kenya,No
uniqueid_7100 x Kenya,No
uniqueid_8648 x Kenya,No
uniqueid_7952 x Kenya,No
uniqueid_6997 x Kenya,No
uniqueid_8160 x Kenya,No
uniqueid_7469 x Kenya,No
uniqueid_7412 x Kenya,No
uniqueid_6678 x Kenya,No
uniqueid_6613 x Kenya,No
uniqueid_8458 x Kenya,No
uniqueid_7092 x Kenya,No
uniqueid_6166 x Kenya,No
uniqueid_7710 x Kenya,No
uniqueid_6989 x Kenya,No
uniqueid_6258 x Kenya,Yes
uniqueid_7689 x Kenya,No
uniqueid_6888 x Kenya,No
uniqueid_8088 x Kenya,No
uniqueid_7102 x Kenya,No
uniqueid_7002 x Kenya,No
uniqueid_6903 x Kenya,Yes
uniqueid_8281 x Kenya,No
uniqueid_7104 x Kenya,No
uniqueid_6693 x Kenya,No
uniqueid_8125 x Kenya,No
uniqueid_8250 x Kenya,Yes
uniqueid_6246 x Kenya,No
uniqueid_7975 x Kenya,No
uniqueid_7519 x Kenya,No
uniqueid_7703 x Kenya,No
uniqueid_6184 x Kenya,No
uniqueid_8533 x Kenya,No
uniqueid_7580 x Kenya,No
uniqueid_7899 x Kenya,No
uniqueid_6452 x Kenya,No
uniqueid_6154 x Kenya,No
uniqueid_7416 x Kenya,No
uniqueid_6632 x Kenya,No
uniqueid_6581 x Kenya,Yes
uniqueid_7184 x Kenya,Yes
uniqueid_8256 x Kenya,No
uniqueid_8577 x Kenya,No
uniqueid_6234 x Kenya,No
uniqueid_8405 x Kenya,No
uniqueid_6466 x Kenya,No
uniqueid_7400 x Kenya,No
uniqueid_6904 x Kenya,No
uniqueid_8152 x Kenya,No
uniqueid_6917 x Kenya,No
uniqueid_6815 x Kenya,No
uniqueid_6840 x Kenya,No
uniqueid_6834 x Kenya,No
uniqueid_7497 x Kenya,No
uniqueid_7719 x Kenya,No
uniqueid_7962 x Kenya,No
uniqueid_6684 x Kenya,No
uniqueid_7284 x Kenya,No
uniqueid_8432 x Kenya,No
uniqueid_7928 x Kenya,No
uniqueid_8645 x Kenya,No
uniqueid_6309 x Kenya,No
uniqueid_8463 x Kenya,No
uniqueid_7482 x Kenya,No
uniqueid_8047 x Kenya,No
uniqueid_6327 x Kenya,No
uniqueid_6604 x Kenya,No
uniqueid_6764 x Kenya,No
uniqueid_6878 x Kenya,No
uniqueid_6702 x Kenya,No
uniqueid_6326 x Kenya,No
uniqueid_8513 x Kenya,No
uniqueid_8443 x Kenya,No
uniqueid_6228 x Kenya,No
uniqueid_7352 x Kenya,No
uniqueid_6607 x Kenya,No
uniqueid_8457 x Kenya,No
uniqueid_7854 x Kenya,No
uniqueid_7905 x Kenya,No
uniqueid_7965 x Kenya,No
uniqueid_7358 x Kenya,No
uniqueid_8393 x Kenya,No
uniqueid_8663 x Kenya,Yes
uniqueid_8389 x Kenya,No
uniqueid_8658 x Kenya,No
uniqueid_6963 x Kenya,No
uniqueid_6841 x Kenya,No
uniqueid_6391 x Kenya,No
uniqueid_7688 x Kenya,No
uniqueid_7789 x Kenya,No
uniqueid_8006 x Kenya,No
uniqueid_8388 x Kenya,No
uniqueid_7187 x Kenya,No
uniqueid_7110 x Kenya,No
uniqueid_6931 x Kenya,No
uniqueid_8232 x Kenya,No
uniqueid_8236 x Kenya,No
uniqueid_6377 x Kenya,No
uniqueid_8076 x Kenya,No
uniqueid_7405 x Kenya,No
uniqueid_8075 x Kenya,No
uniqueid_8643 x Kenya,No
uniqueid_7687 x Kenya,No
uniqueid_6628 x Kenya,No
uniqueid_6078 x Kenya,No
uniqueid_7542 x Kenya,Yes
uniqueid_7087 x Kenya,No
uniqueid_8169 x Kenya,No
uniqueid_8050 x Kenya,No
uniqueid_7415 x Kenya,No
uniqueid_6748 x Kenya,No
uniqueid_7922 x Kenya,No
uniqueid_6088 x Kenya,No
uniqueid_6978 x Kenya,No
uniqueid_7148 x Kenya,No
uniqueid_8257 x Kenya,No
uniqueid_7643 x Kenya,No
uniqueid_8070 x Kenya,No
uniqueid_7221 x Kenya,No
uniqueid_7230 x Kenya,No
uniqueid_6540 x Kenya,No
uniqueid_7171 x Kenya,No
uniqueid_6544 x Kenya,No
uniqueid_8105 x Kenya,No
uniqueid_8365 x Kenya,No
uniqueid_7144 x Kenya,No
uniqueid_6115 x Kenya,No
uniqueid_7540 x Kenya,No
uniqueid_6445 x Kenya,No
uniqueid_8508 x Kenya,No
uniqueid_8121 x Kenya,No
uniqueid_7242 x Kenya,No
uniqueid_6524 x Kenya,No
uniqueid_6725 x Kenya,Yes
uniqueid_6342 x Kenya,No
uniqueid_8109 x Kenya,No
uniqueid_8445 x Kenya,No
uniqueid_7992 x Kenya,No
uniqueid_6664 x Kenya,No
uniqueid_7461 x Kenya,No
uniqueid_7896 x Kenya,No
uniqueid_6686 x Kenya,No
uniqueid_6838 x Kenya,No
uniqueid_7098 x Kenya,No
uniqueid_8042 x Kenya,No
uniqueid_8444 x Kenya,No
uniqueid_6932 x Kenya,Yes
uniqueid_6781 x Kenya,No
uniqueid_6410 x Kenya,No
uniqueid_7379 x Kenya,No
uniqueid_7869 x Kenya,No
uniqueid_6927 x Kenya,No
uniqueid_6861 x Kenya,Yes
uniqueid_7001 x Kenya,No
uniqueid_7708 x Kenya,No
uniqueid_7128 x Kenya,No
uniqueid_7074 x Kenya,No
uniqueid_8277 x Kenya,Yes
uniqueid_7627 x Kenya,No
uniqueid_8512 x Kenya,No
uniqueid_6922 x Kenya,No
uniqueid_7714 x Kenya,No
uniqueid_6679 x Kenya,No
uniqueid_7118 x Kenya,No
uniqueid_6495 x Kenya,No
uniqueid_7712 x Kenya,No
uniqueid_7359 x Kenya,No
uniqueid_8605 x Kenya,No
uniqueid_8667 x Kenya,No
uniqueid_6192 x Kenya,No
uniqueid_6430 x Kenya,No
uniqueid_6396 x Kenya,No
uniqueid_6218 x Kenya,No
uniqueid_7561 x Kenya,No
uniqueid_7978 x Kenya,No
uniqueid_8652 x Kenya,No
uniqueid_6724 x Kenya,No
uniqueid_7715 x Kenya,No
uniqueid_8453 x Kenya,No
uniqueid_6339 x Kenya,No
uniqueid_7955 x Kenya,No
uniqueid_7522 x Kenya,No
uniqueid_7980 x Kenya,No
uniqueid_6995 x Kenya,No
uniqueid_6505 x Kenya,No
uniqueid_8292 x Kenya,No
uniqueid_8063 x Kenya,No
uniqueid_7563 x Kenya,No
uniqueid_7476 x Kenya,No
uniqueid_8668 x Kenya,No
uniqueid_6676 x Kenya,No
uniqueid_8189 x Kenya,No
uniqueid_6654 x Kenya,No
uniqueid_6183 x Kenya,No
uniqueid_7158 x Kenya,No
uniqueid_8576 x Kenya,No
uniqueid_7844 x Kenya,No
uniqueid_7897 x Kenya,No
uniqueid_7588 x Kenya,No
uniqueid_8148 x Kenya,No
uniqueid_6934 x Kenya,No
uniqueid_6415 x Kenya,No
uniqueid_8409 x Kenya,No
uniqueid_8561 x Kenya,No
uniqueid_6780 x Kenya,No
uniqueid_8441 x Kenya,Yes
uniqueid_6256 x Kenya,No
uniqueid_7175 x Kenya,No
uniqueid_6453 x Kenya,No
uniqueid_6881 x Kenya,No
uniqueid_8220 x Kenya,No
uniqueid_8287 x Kenya,No
uniqueid_6405 x Kenya,No
uniqueid_6867 x Kenya,No
uniqueid_7721 x Kenya,Yes
uniqueid_8523 x Kenya,No
uniqueid_7632 x Kenya,No
uniqueid_6489 x Kenya,No
uniqueid_7099 x Kenya,No
uniqueid_6374 x Kenya,No
uniqueid_7294 x Kenya,No
uniqueid_6189 x Kenya,No
uniqueid_6191 x Kenya,No
uniqueid_8052 x Kenya,No
uniqueid_8647 x Kenya,No
uniqueid_8014 x Kenya,No
uniqueid_7990 x Kenya,No
uniqueid_6509 x Kenya,No
uniqueid_6754 x Kenya,No
uniqueid_7000 x Kenya,No
uniqueid_7579 x Kenya,No
uniqueid_7500 x Kenya,No
uniqueid_7686 x Kenya,No
uniqueid_6186 x Kenya,No
uniqueid_7145 x Kenya,No
uniqueid_8633 x Kenya,No
uniqueid_6759 x Kenya,No
uniqueid_7341 x Kenya,No
uniqueid_6790 x Kenya,No
uniqueid_6962 x Kenya,No
uniqueid_8434 x Kenya,No
uniqueid_6969 x Kenya,No
uniqueid_6825 x Kenya,No
uniqueid_6542 x Kenya,No
uniqueid_7515 x Kenya,No
uniqueid_7949 x Kenya,No
uniqueid_8551 x Kenya,No
uniqueid_6385 x Kenya,No
uniqueid_7202 x Kenya,No
uniqueid_7556 x Kenya,No
uniqueid_6735 x Kenya,No
uniqueid_6907 x Kenya,No
uniqueid_8176 x Kenya,No
uniqueid_7336 x Kenya,No
uniqueid_8454 x Kenya,No
uniqueid_7885 x Kenya,No
uniqueid_7300 x Kenya,No
uniqueid_6845 x Kenya,No
uniqueid_6673 x Kenya,No
uniqueid_8624 x Kenya,No
uniqueid_8475 x Kenya,No
uniqueid_6651 x Kenya,No
uniqueid_8061 x Kenya,No
uniqueid_7983 x Kenya,No
uniqueid_7014 x Kenya,No
uniqueid_8471 x Kenya,No
uniqueid_8587 x Kenya,No
uniqueid_7047 x Kenya,No
uniqueid_7146 x Kenya,No
uniqueid_6910 x Kenya,No
uniqueid_6721 x Kenya,No
uniqueid_7771 x Kenya,No
uniqueid_8449 x Kenya,No
uniqueid_8554 x Kenya,No
uniqueid_6571 x Kenya,No
uniqueid_8415 x Kenya,No
uniqueid_6948 x Kenya,No
uniqueid_6469 x Kenya,No
uniqueid_6786 x Kenya,No
uniqueid_6422 x Kenya,No
uniqueid_6341 x Kenya,No
uniqueid_7275 x Kenya,No
uniqueid_7470 x Kenya,No
uniqueid_6916 x Kenya,No
uniqueid_6311 x Kenya,No
uniqueid_8143 x Kenya,No
uniqueid_6728 x Kenya,No
uniqueid_7006 x Kenya,No
uniqueid_6351 x Kenya,No
uniqueid_7086 x Kenya,No
uniqueid_8601 x Kenya,No
uniqueid_7668 x Kenya,No
uniqueid_8177 x Kenya,No
uniqueid_7285 x Kenya,No
uniqueid_6060 x Kenya,No
uniqueid_7248 x Kenya,No
uniqueid_7610 x Kenya,No
uniqueid_8180 x Kenya,No
uniqueid_7654 x Kenya,No
uniqueid_7696 x Kenya,No
uniqueid_6525 x Kenya,No
uniqueid_7655 x Kenya,Yes
uniqueid_8255 x Kenya,Yes
uniqueid_7429 x Kenya,Yes
uniqueid_6627 x Kenya,No
uniqueid_7273 x Kenya,No
uniqueid_6567 x Kenya,No
uniqueid_7809 x Kenya,No
uniqueid_8016 x Kenya,No
uniqueid_6198 x Kenya,No
uniqueid_7783 x Kenya,No
uniqueid_6514 x Kenya,No
uniqueid_7591 x Kenya,No
uniqueid_7044 x Kenya,No
uniqueid_6441 x Kenya,No
uniqueid_7250 x Kenya,No
uniqueid_8588 x Kenya,No
uniqueid_6378 x Kenya,No
uniqueid_8557 x Kenya,No
uniqueid_7807 x Kenya,No
uniqueid_7395 x Kenya,No
uniqueid_7951 x Kenya,No
uniqueid_7529 x Kenya,No
uniqueid_7790 x Kenya,No
uniqueid_7909 x Kenya,No
uniqueid_7446 x Kenya,No
uniqueid_7258 x Kenya,No
uniqueid_7945 x Kenya,No
uniqueid_7944 x Kenya,No
uniqueid_7848 x Kenya,No
uniqueid_8655 x Kenya,No
uniqueid_7908 x Kenya,No
uniqueid_6330 x Kenya,No
uniqueid_7883 x Kenya,No
uniqueid_6792 x Kenya,No
uniqueid_7989 x Kenya,No
uniqueid_6516 x Kenya,No
uniqueid_7603 x Kenya,No
uniqueid_8528 x Kenya,No
uniqueid_7927 x Kenya,No
uniqueid_7127 x Kenya,No
uniqueid_8402 x Kenya,No
uniqueid_8123 x Kenya,No
uniqueid_8394 x Kenya,No
uniqueid_6700 x Kenya,No
uniqueid_6987 x Kenya,No
uniqueid_6201 x Kenya,No
uniqueid_6798 x Kenya,No
uniqueid_7323 x Kenya,No
uniqueid_6757 x Kenya,No
uniqueid_8569 x Kenya,No
uniqueid_8560 x Kenya,No
uniqueid_6328 x Kenya,No
uniqueid_6575 x Kenya,No
uniqueid_8188 x Kenya,No
uniqueid_7806 x Kenya,No
uniqueid_7511 x Kenya,No
uniqueid_7192 x Kenya,No
uniqueid_6813 x Kenya,Yes
uniqueid_7797 x Kenya,No
uniqueid_6953 x Kenya,No
uniqueid_8120 x Kenya,No
uniqueid_6352 x Kenya,No
uniqueid_6972 x Kenya,No
uniqueid_7335 x Kenya,No
uniqueid_8524 x Kenya,No
uniqueid_6240 x Kenya,No
uniqueid_7298 x Kenya,No
uniqueid_8548 x Kenya,No
uniqueid_6121 x Kenya,No
uniqueid_7573 x Kenya,No
uniqueid_7534 x Kenya,No
uniqueid_7523 x Kenya,No
uniqueid_8029 x Kenya,No
uniqueid_7414 x Kenya,No
uniqueid_8191 x Kenya,No
uniqueid_6655 x Kenya,Yes
uniqueid_6851 x Kenya,No
uniqueid_7493 x Kenya,No
uniqueid_7777 x Kenya,No
uniqueid_7485 x Kenya,Yes
uniqueid_7636 x Kenya,No
uniqueid_7838 x Kenya,No
uniqueid_7295 x Kenya,No
uniqueid_6595 x Kenya,No
uniqueid_7419 x Kenya,No
uniqueid_7417 x Kenya,No
uniqueid_7404 x Kenya,Yes
uniqueid_7205 x Kenya,No
uniqueid_7083 x Kenya,No
uniqueid_6784 x Kenya,No
uniqueid_7348 x Kenya,No
uniqueid_6520 x Kenya,No
uniqueid_6356 x Kenya,No
uniqueid_7224 x Kenya,No
uniqueid_7159 x Kenya,No
uniqueid_7296 x Kenya,No
uniqueid_7289 x Kenya,No
uniqueid_7287 x Kenya,No
uniqueid_7260 x Kenya,No
uniqueid_7280 x Kenya,No
uniqueid_7311 x Kenya,No
uniqueid_7276 x Kenya,No
uniqueid_7271 x Kenya,No
uniqueid_7266 x Kenya,No
uniqueid_7264 x Kenya,No
uniqueid_7249 x Kenya,No
uniqueid_7313 x Kenya,No
uniqueid_7229 x Kenya,No
uniqueid_7218 x Kenya,No
uniqueid_6242 x Kenya,No
uniqueid_7212 x Kenya,No
uniqueid_7210 x Kenya,No
uniqueid_8411 x Kenya,No
uniqueid_7180 x Kenya,No
uniqueid_8654 x Kenya,No
uniqueid_6364 x Kenya,No
uniqueid_6543 x Kenya,No
uniqueid_7147 x Kenya,No
uniqueid_6548 x Kenya,No
uniqueid_6282 x Kenya,No
uniqueid_7852 x Kenya,No
uniqueid_7088 x Kenya,No
uniqueid_6943 x Kenya,No
uniqueid_7136 x Kenya,No
uniqueid_7077 x Kenya,No
uniqueid_6537 x Kenya,No
uniqueid_7036 x Kenya,No
uniqueid_7025 x Kenya,No
uniqueid_7546 x Kenya,No
uniqueid_6336 x Kenya,No
uniqueid_6998 x Kenya,No
uniqueid_6419 x Kenya,No
uniqueid_8328 x Kenya,Yes
uniqueid_7463 x Kenya,No
uniqueid_6892 x Kenya,No
uniqueid_7161 x Kenya,No
uniqueid_6623 x Kenya,No
uniqueid_8127 x Kenya,No
uniqueid_6809 x Kenya,No
uniqueid_8004 x Kenya,No
uniqueid_6065 x Kenya,Yes
uniqueid_6856 x Kenya,No
uniqueid_6853 x Kenya,No
uniqueid_6985 x Kenya,No
uniqueid_7495 x Kenya,No
uniqueid_7906 x Kenya,Yes
uniqueid_6819 x Kenya,No
uniqueid_8424 x Kenya,No
uniqueid_7105 x Kenya,No
uniqueid_7882 x Kenya,No
uniqueid_6806 x Kenya,No
uniqueid_7728 x Kenya,No
uniqueid_7458 x Kenya,No
uniqueid_6778 x Kenya,No
uniqueid_7053 x Kenya,No
uniqueid_7096 x Kenya,No
uniqueid_6723 x Kenya,No
uniqueid_6719 x Kenya,No
uniqueid_8068 x Kenya,No
uniqueid_6708 x Kenya,No
uniqueid_6680 x Kenya,No
uniqueid_8073 x Kenya,No
uniqueid_7374 x Kenya,Yes
uniqueid_8438 x Kenya,No
uniqueid_7559 x Kenya,No
uniqueid_7972 x Kenya,No
uniqueid_7214 x Kenya,No
uniqueid_7046 x Kenya,No
uniqueid_6611 x Kenya,No
uniqueid_6727 x Kenya,No
uniqueid_8238 x Kenya,No
uniqueid_6584 x Kenya,No
uniqueid_8284 x Kenya,No
uniqueid_7862 x Kenya,No
uniqueid_6553 x Kenya,No
uniqueid_6529 x Kenya,No
uniqueid_7057 x Kenya,No
uniqueid_6515 x Kenya,No
uniqueid_6503 x Kenya,No
uniqueid_6501 x Kenya,Yes
uniqueid_7346 x Kenya,No
uniqueid_8627 x Kenya,No
uniqueid_7921 x Kenya,No
uniqueid_7567 x Kenya,No
uniqueid_8401 x Kenya,No
uniqueid_7170 x Kenya,No
uniqueid_8669 x Kenya,No
uniqueid_7873 x Kenya,No
uniqueid_6381 x Kenya,No
uniqueid_6549 x Kenya,No
uniqueid_6863 x Kenya,No
uniqueid_7141 x Kenya,No
uniqueid_8580 x Kenya,No
uniqueid_6317 x Kenya,No
uniqueid_8315 x Kenya,No
uniqueid_6306 x Kenya,No
uniqueid_6257 x Kenya,No
uniqueid_6506 x Kenya,No
uniqueid_7259 x Kenya,No
uniqueid_6294 x Kenya,No
uniqueid_6284 x Kenya,No
uniqueid_6220 x Kenya,No
uniqueid_7460 x Kenya,No
uniqueid_6315 x Kenya,No
uniqueid_7881 x Kenya,No
uniqueid_6513 x Kenya,Yes
uniqueid_6236 x Kenya,No
uniqueid_6229 x Kenya,No
uniqueid_6397 x Kenya,No
uniqueid_6205 x Kenya,Yes
uniqueid_7292 x Kenya,No
uniqueid_6196 x Kenya,No
uniqueid_6194 x Kenya,No
uniqueid_6821 x Kenya,No
uniqueid_8547 x Kenya,No
uniqueid_6170 x Kenya,No
uniqueid_6761 x Kenya,No
uniqueid_6487 x Kenya,No
uniqueid_8132 x Kenya,No
uniqueid_6849 x Kenya,No
uniqueid_7120 x Kenya,No
uniqueid_7747 x Kenya,No
uniqueid_8575 x Kenya,No
uniqueid_7916 x Kenya,No
uniqueid_6457 x Kenya,No
uniqueid_6056 x Kenya,No
uniqueid_8638 x Kenya,No
uniqueid_7578 x Kenya,No
uniqueid_6862 x Kenya,No
uniqueid_7565 x Kenya,No
uniqueid_8610 x Kenya,No
uniqueid_8631 x Kenya,No
uniqueid_6706 x Kenya,No
uniqueid_6984 x Kenya,No
uniqueid_7770 x Kenya,No
uniqueid_8178 x Kenya,No
uniqueid_8331 x Kenya,No
uniqueid_7126 x Kenya,No
uniqueid_6609 x Kenya,No
uniqueid_6168 x Kenya,No
uniqueid_7156 x Kenya,No
uniqueid_7730 x Kenya,No
uniqueid_8027 x Kenya,No
uniqueid_6633 x Kenya,No
uniqueid_7403 x Kenya,No
uniqueid_7967 x Kenya,No
uniqueid_7616 x Kenya,No
uniqueid_6741 x Kenya,No
uniqueid_8323 x Kenya,No
uniqueid_8505 x Kenya,No
uniqueid_7448 x Kenya,No
uniqueid_7589 x Kenya,No
uniqueid_7602 x Kenya,No
uniqueid_7604 x Kenya,No
uniqueid_6855 x Kenya,No
uniqueid_7910 x Kenya,No
uniqueid_7618 x Kenya,No
uniqueid_7620 x Kenya,No
uniqueid_7621 x Kenya,No
uniqueid_7223 x Kenya,No
uniqueid_7888 x Kenya,No
uniqueid_7825 x Kenya,No
uniqueid_7097 x Kenya,No
uniqueid_8497 x Kenya,No
uniqueid_7769 x Kenya,No
uniqueid_7638 x Kenya,No
uniqueid_7673 x Kenya,No
uniqueid_7509 x Kenya,No
uniqueid_7836 x Kenya,No
uniqueid_6146 x Kenya,No
uniqueid_7813 x Kenya,No
uniqueid_8336 x Kenya,No
uniqueid_6096 x Kenya,No
uniqueid_6641 x Kenya,No
uniqueid_7674 x Kenya,No
uniqueid_7003 x Kenya,No
uniqueid_8539 x Kenya,No
uniqueid_7767 x Kenya,No
uniqueid_7749 x Kenya,No
uniqueid_7488 x Kenya,No
uniqueid_7758 x Kenya,No
uniqueid_6263 x Kenya,No
uniqueid_10956 x Rwanda,Yes
uniqueid_9947 x Rwanda,No
uniqueid_9996 x Rwanda,No
uniqueid_10908 x Rwanda,No
uniqueid_9008 x Rwanda,Yes
uniqueid_12174 x Rwanda,Yes
uniqueid_9198 x Rwanda,Yes
uniqueid_11347 x Rwanda,Yes
uniqueid_10535 x Rwanda,Yes
uniqueid_11346 x Rwanda,No
uniqueid_11954 x Rwanda,No
uniqueid_12035 x Rwanda,No
uniqueid_9877 x Rwanda,Yes
uniqueid_9811 x Rwanda,Yes
uniqueid_9629 x Rwanda,Yes
uniqueid_11412 x Rwanda,No
uniqueid_9533 x Rwanda,No
uniqueid_11083 x Rwanda,Yes
uniqueid_10767 x Rwanda,Yes
uniqueid_8863 x Rwanda,Yes
uniqueid_10789 x Rwanda,Yes
uniqueid_11613 x Rwanda,Yes
uniqueid_11399 x Rwanda,Yes
uniqueid_9632 x Rwanda,No
uniqueid_9547 x Rwanda,Yes
uniqueid_10231 x Rwanda,No
uniqueid_9615 x Rwanda,Yes
uniqueid_9248 x Rwanda,No
uniqueid_10693 x Rwanda,Yes
uniqueid_11440 x Rwanda,Yes
uniqueid_11898 x Rwanda,No
uniqueid_10821 x Rwanda,Yes
uniqueid_11102 x Rwanda,No
uniqueid_12421 x Rwanda,No
uniqueid_10968 x Rwanda,Yes
uniqueid_9823 x Rwanda,Yes
uniqueid_10254 x Rwanda,No
uniqueid_11483 x Rwanda,Yes
uniqueid_10308 x Rwanda,No
uniqueid_10013 x Rwanda,No
uniqueid_9958 x Rwanda,No
uniqueid_10409 x Rwanda,No
uniqueid_8996 x Rwanda,Yes
uniqueid_9840 x Rwanda,Yes
uniqueid_11064 x Rwanda,No
uniqueid_12312 x Rwanda,Yes
uniqueid_10781 x Rwanda,Yes
uniqueid_10164 x Rwanda,Yes
uniqueid_9902 x Rwanda,Yes
uniqueid_9821 x Rwanda,No
uniqueid_8852 x Rwanda,Yes
uniqueid_9199 x Rwanda,Yes
uniqueid_9379 x Rwanda,No
uniqueid_9191 x Rwanda,No
uniqueid_9322 x Rwanda,Yes
uniqueid_11368 x Rwanda,Yes
uniqueid_12168 x Rwanda,Yes
uniqueid_10718 x Rwanda,Yes
uniqueid_10050 x Rwanda,Yes
uniqueid_10121 x Rwanda,Yes
uniqueid_10424 x Rwanda,Yes
uniqueid_9230 x Rwanda,Yes
uniqueid_11120 x Rwanda,Yes
uniqueid_12313 x Rwanda,Yes
uniqueid_12325 x Rwanda,No
uniqueid_10622 x Rwanda,Yes
uniqueid_11505 x Rwanda,Yes
uniqueid_11682 x Rwanda,No
uniqueid_10010 x Rwanda,Yes
uniqueid_11456 x Rwanda,No
uniqueid_11555 x Rwanda,Yes
uniqueid_10805 x Rwanda,No
uniqueid_10322 x Rwanda,Yes
uniqueid_9395 x Rwanda,Yes
uniqueid_8823 x Rwanda,No
uniqueid_10869 x Rwanda,No
uniqueid_11823 x Rwanda,No
uniqueid_9295 x Rwanda,No
uniqueid_8829 x Rwanda,No
uniqueid_12104 x Rwanda,No
uniqueid_11321 x Rwanda,No
uniqueid_9935 x Rwanda,Yes
uniqueid_11028 x Rwanda,Yes
uniqueid_10069 x Rwanda,Yes
uniqueid_11079 x Rwanda,No
uniqueid_11850 x Rwanda,Yes
uniqueid_11561 x Rwanda,No
